Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
Department of Health and Family Welfare,All Indian Institute of Medical Science,Repayment of Principal from HEFA Loan,52.50,52.50,52.50,52.50
Department of Health and Family Welfare,"Post Graduate Institute of Medical Education and Research, Chandigarh",Support from Gross Budgetary Support (GBS),1665.50,51.53,1861.53,302.69
Department of Health and Family Welfare,"Post Graduate Institute of Medical Education and Research, Chandigarh",Support from National Investment Fund (NIF),7.00,1375.00,...,1311.13
Department of Health and Family Welfare,"Jawaharlal Institute of Post Graduate Medical Education and Research, Puducherry",Support from Gross Budgetary Support (GBS),929.98,0.01,900.00,7.03
Department of Health and Family Welfare,"Jawaharlal Institute of Post Graduate Medical Education and Research, Puducherry",Support from National Investment Fund (NIF),2.56,999.99,...,992.97
Department of Health and Family Welfare,"National Institute of Mental Health and Neuro-Sciences, Bengaluru","National Institute of Mental Health and Neuro-Sciences, Bengaluru",453.41,434.43,474.43,500.44
Department of Health and Family Welfare,"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences, Shillong","North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences, Shillong",362.00,310.31,310.31,350.00
Department of Health and Family Welfare,"Regional Institute of Medical Sciences, Imphal","Regional Institute of Medical Sciences, Imphal",459.66,354.64,421.60,438.77
Department of Health and Family Welfare,"Regional Institute of Paramedical and Nursing Sciences, Aizawl","Regional Institute of Paramedical and Nursing Sciences, Aizawl",40.48,35.46,43.00,88.87
Department of Health and Family Welfare,"Lok priya Gopinath Bordoloi Regional Institute of Mental Health, Tezpur","Gopinath Bordoloi Regional Institute of Mental Health, Tezpur",55.00,53.20,46.00,57.00
Department of Health and Family Welfare,Other Autonomous Bodies,Support from Gross Budgetary Support (GBS),572.21,715.80,637.77,717.21
Department of Health and Family Welfare,Other Autonomous Bodies,Support from National Investment Fund (NIF),49.19,...,...,...
Department of Health and Family Welfare,Medical Treatment of CGHS Pensioners (PORB),Medical Treatment of CGHS Pensioners (PORB),2617.22,1750.17,2805.00,2300.00
Department of Health and Family Welfare,Purchase of Material in India and Abroad,Gross Budgetary Support,283.18,310.00,310.00,300.00
Department of Health and Family Welfare,Purchase of Material in India and Abroad,Less Recoveries,-144.49,-310.00,-310.00,-300.00
Department of Health and Family Welfare,International Cooperation,International Cooperation,151.34,99.39,99.38,104.91
Department of Health and Family Welfare,Other Miscellaneous Expenditure,Gross Budgetary Support,114.56,216.06,115.90,192.16
Department of Health and Family Welfare,Other Miscellaneous Expenditure,Less Recoveries,...,-2.17,-1.61,...
Department of Health and Family Welfare,Support from National Investment Fund (NIF),Support from National Investment Fund (NIF),43.00,32270.00,11500.00,14000.00
Department of Health and Family Welfare,Amount met from National Investment Fund (NIF),Amount met from National Investment Fund (NIF),-43.00,-32270.00,-11500.00,-14000.00
Department of Health and Family Welfare,Support from Central Roads & Infrastructure Fund (CRIF),Support from Central Roads & Infrastructure Fund (CRIF),3971.38,4400.00,2860.00,4150.00
Department of Health and Family Welfare,Amount met from Central Roads & Infrastructure Fund (CRIF),Amount met from Central Roads & Infrastructure Fund (CRIF),-3971.38,-4400.00,-2860.00,-4150.00
Department of Health and Family Welfare,National Rural Health Mission,"RCH Flexible Pool including Routine Immunization Programme, Pulse Polio Immunization Programme, National Iodine Deficiency Disorders Control Programme etc. (Support from National Investment Funds)",292.90,5703.02,...,6273.32
Department of Health and Family Welfare,National Rural Health Mission,"RCH Flexible Pool including Routine Immunization Programme, Pulse Polio Immunization Programme, National Iodine Deficiency Disorders Control Programme etc. (Gross Budgetary Support))",5609.15,...,...,...
Department of Health and Family Welfare,National Rural Health Mission,"RCH Flexible Pool including Routine Immunization Programme, Pulse Polio Immunization Programme, National Iodine Deficiency Disorders Control Programme etc. (PMSSN)",...,...,6241.02,...
Department of Health and Family Welfare,National Rural Health Mission,Health System Strengthening under NRHM (Support from National Investment Funds),...,9749.08,9749.08,9.68
Department of Health and Family Welfare,National Rural Health Mission,Health System Strengthening under NRHM (Gross Budgetary Support),11635.33,836.99,1999.01,608.59
Department of Health and Family Welfare,National Rural Health Mission,Health System Strengthening under NRHM (Support from PMSSN),...,...,...,12150.00
Department of Health and Family Welfare,National Rural Health Mission,Ayushman Bharat - Health and Wellness Centres (NIF),...,1350.00,1350.00,...
Department of Health and Family Welfare,National Rural Health Mission,Ayushman Bharat - Health and Wellness Centres (GBS),1444.53,...,...,...
Department of Health and Family Welfare,National Rural Health Mission,Ayushman Bharat - Health and Wellness Centres (Support from PMSSN),...,...,...,1650.00
Department of Health and Family Welfare,National Rural Health Mission,Flexible Pool for Communicable Diseases,3357.44,2178.00,2110.14,2178.00
Department of Health and Family Welfare,National Rural Health Mission,"Flexible Pool for Non-Communicable Diseases, Injury and Trauma",674.78,717.00,403.51,...
Department of Health and Family Welfare,National Rural Health Mission,"Flexible Pool for Non-Communicable Diseases, Injury and Trauma (Support from NIF)",...,...,...,717.00
Department of Health and Family Welfare,National Rural Health Mission,Infrastructure Maintenance,6737.60,6343.41,1070.43,6343.41
Department of Health and Family Welfare,National Rural Health Mission,Infrastructure Maintenance (PMSSN),...,...,5272.98,...
Department of Health and Family Welfare,National Rural Health Mission,"Pilot Schemes (Sports Medicine, Deafness, Leptospirosis Control, Control of Human Rabies, Medical Rehabilitation, Oral Health, Fluorosis)",18.38,25.00,25.00,20.00
Department of Health and Family Welfare,National Rural Health Mission,Prime Minister's Development Plan for Jammu and Kashmir,63.36,...,...,...
Department of Health and Family Welfare,National Rural Health Mission,Strengthening National Programme Management of the NRHM,118.86,125.00,125.00,150.00
Department of Health and Family Welfare,National Rural Health Mission,Janasankhya Sthirtha Kosh (JSK),34.49,11.50,20.58,...
Department of Health and Family Welfare,National Urban Health Mission,Other Health System for activities covered under NUHM (NIF),...,700.00,150.92,750.00
Department of Health and Family Welfare,National Urban Health Mission,Other Health System for activities covered under NUHM (GBS),696.84,...,549.08,...
Department of Health and Family Welfare,National Urban Health Mission,Ayushman Bharat - Health and Wellness Centres (NIF),...,250.00,250.00,250.00
Department of Health and Family Welfare,National Urban Health Mission,Ayushman Bharat - Health and Wellness Centres (GBS),153.22,...,...,...
Department of Health and Family Welfare,Strengthening of State Drug Regulatory System,Strengthening of State Drug Regulatory System,206.00,175.00,130.00,175.00
Department of Health and Family Welfare,Tertiary Care Programs,National Mental Health Programme,2.51,40.00,27.36,40.00
Department of Health and Family Welfare,Tertiary Care Programs,Capacity Building for Trauma Centres,2.14,100.00,20.00,60.00
Department of Health and Family Welfare,Tertiary Care Programs,"National Programme for prevention and control of Cancer, Diabetes, Cardio-vascular Disease and Stroke",150.02,175.00,133.86,175.00
Department of Health and Family Welfare,Tertiary Care Programs,National Programme for Health Care for the Elderly,9.92,105.00,15.00,105.00
Department of Health and Family Welfare,Tertiary Care Programs,National Programme for Control of Blindness,1.82,20.00,5.00,10.50
Department of Health and Family Welfare,Tertiary Care Programs,Telemedicine,23.14,45.00,45.28,45.00
Department of Health and Family Welfare,Tertiary Care Programs,Tobacco Control Programme and Drug De-addiction Programme,51.58,65.00,65.00,65.00
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Upgradation/Strengthening of Nursing Services (ANM/GNM),3.06,...,...,...
Department of Health and Family Welfare,Human Resources for Health and Medical Education,District Hospital - Upgradation of State Government Medical Colleges (PG Seats),600.00,...,...,...
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Strengthening Government Medical Colleges (UG Seats) and Central Government Health Institutions,761.00,...,...,...
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Establishing New Medical Colleges (upgrading District Hospitals),2000.00,...,...,...
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Setting up of State Institutions of Para-medical Sciences in States and Setting up of College of Para-medical Education,11.46,...,...,...
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Establishment of New Medical Colleges and Increase of Seats in existing Government Medical Colleges (NIF),...,4686.00,...,...
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Establishment of New Medical Colleges and Increase of Seats in existing Government Medical Colleges (PMSSN),...,...,5386.00,4800.00
Department of Health and Family Welfare,Rashtriya Swasthya Bima Yojana (RSBY),Support from Gross Budgetary Support (GBS),56.61,29.00,29.00,1.00
Department of Health and Family Welfare,Rashtriya Swasthya Bima Yojana (RSBY),Support from National Investment Fund (NIF),...,...,...,...
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Support from Gross Budgetary Support (GBS),3200.00,200.00,...,...
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Support from National Investment Fund (NIF),...,6200.00,...,...
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Support from National Investment Fund (PMSSN),...,...,3100.00,6400.00
Department of Health and Family Welfare,Senior Citizens Health Insurance Scheme,Senior Citizens Health Insurance Scheme,...,10.00,10.00,1.00
Department of Health and Family Welfare,Pradhan Mantri Swasthya Suraksha Nidhi (PMSSN),Support from PMSSN,...,...,20000.00,25000.00
Department of Health and Family Welfare,Pradhan Mantri Swasthya Suraksha Nidhi (PMSSN),Amount met from PMSSN,...,...,-20000.00,-25000.00
